"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/03/2018","Amsterdam Brew House","AMSTERDAM BREWHOUSE TORONTO","31.20","debit","Food & Dining","American Express Cobalt Card","",""
"6/02/2018","Goodman's","THE GOODMAN PUB LP TORONTO","62.05","debit","Food & Dining","American Express Cobalt Card","",""
"6/01/2018","Transfer from TD UNLIMITED CHEQUING ACCOUNT","PYT FRM: 03616328801","265.58","credit","Credit Card Payment","LINE OF CREDIT UNSECURED","",""
"6/01/2018","Transfer from TD BASIC BUSINESS PLAN","MOBILE DEPOSIT","3000.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Lick It Gelato","LICK IT GELATO _F","11.30","debit","Coffee Shops","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Send E Tfr","SEND E-TFR CA***FeE","3000.00","debit","Fees & Charges","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Loan","Loan payment to *319998201","797.84","debit","Financial","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Transfer to LINE OF CREDIT UNSECURED","PYT TO: 03613258410","265.58","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Capital One A","Capital One MasterCard A5A3A2","300.00","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 JY210","500.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/01/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 JY210","500.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"6/01/2018","Tax Pyt Fee","TAX PYT FEE","4.00","debit","Taxes","TD BASIC BUSINESS PLAN","",""
"6/01/2018","Antioch Kitchen Antioch","ANTIOCH KITCHEN ANTIOCH NORTH YORK","9.05","debit","Food & Dining","American Express Cobalt Card","",""
"6/01/2018","Tim Horton's","TIM HORTONS #2162# QT TORONTO","3.76","debit","Coffee Shops","American Express Cobalt Card","",""
"5/31/2018","iTunes","WWW.ITUNES.COM/BILL CUPERTINO CAMLX4DXVWJYA DIRECT MKTG INTERNET 320181510705369850","9.99","debit","Music","Starwood Preferred Guest","",""
"5/31/2018","Interest","INTEREST","265.58","debit","Loan Interest","LINE OF CREDIT UNSECURED","",""
"5/31/2018","Overdraft Fee","Overdraft protection Fee - Part/all of a month","4.00","debit","Bank Fee","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/31/2018","Overdraft Fee","OVERDRAFT INTEREST","0.04","debit","Bank Fee","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/31/2018","Monthly Account Fee","MONTHLY ACCOUNT FEE","15.95","debit","Bank Fee","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/31/2018","Account Maintenance Fee","SERVICE CHARGE","8.75","debit","Bank Fee","TD BASIC BUSINESS PLAN","",""
"5/31/2018","Monthly Plan Fee","MONTHLY PLAN FEE","5.00","debit","Fees & Charges","TD BASIC BUSINESS PLAN","",""
"5/31/2018","Winners","WINNERS 464 TORONTO","5.99","debit","Clothing","American Express Cobalt Card","",""
"5/31/2018","Tim Horton's","TIM HORTONS #2162# QT TORONTO","3.99","debit","Coffee Shops","American Express Cobalt Card","",""
"5/31/2018","Starbucks","STARBUCKS 04374 TORONTO","3.83","debit","Coffee Shops","American Express Cobalt Card","",""
"5/31/2018","Tim Horton's","TIM HORTONS #2162# QT TORONTO","1.52","debit","Coffee Shops","American Express Cobalt Card","",""
"5/31/2018","Hudson Bay Toro","HUDSON'S BAY #1560 TORO TORONTO","88.14","debit","Clothing","American Express Cobalt Card","",""
"5/30/2018","Capital One Z","Capital One MasterCard Z7L8L7","15.00","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/30/2018","Campechano","CAMPECHANO","31.19","debit","Restaurants","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/30/2018","Gst P Bus","GST-P 9367329 BUS","328.59","debit","Federal Tax","TD BASIC BUSINESS PLAN","",""
"5/30/2018","Payu Pagosonline Bogota","PAYU PAGOSONLINE BOGOTA D.C.","55.82","debit","Travel","American Express Cobalt Card","",""
"5/30/2018","Tim Horton's","TIM HORTONS #2162# QT TORONTO","3.14","debit","Coffee Shops","American Express Cobalt Card","",""
"5/30/2018","Dollarama","DOLLARAMA #0938 TORONTO","23.50","debit","Shopping","American Express Cobalt Card","",""
"5/29/2018","American Express","American Express BILL PYMT MSP","102.65","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/29/2018","Toronto Hydro Bpy","TORONTO HYDRO BPY","45.00","debit","Utilities","TD BASIC BUSINESS PLAN","",""
"5/29/2018","American Express","American Express BILL PYMT MSP","293.44","debit","Credit Card Payment","TD BASIC BUSINESS PLAN","",""
"5/29/2018","Transfer from TOTAL CHECKING","Zelle Transfer Conf# 159310415; JUAN P GAVIRIA","100.00","credit","Transfer","BofA Core Checking","",""
"5/29/2018","Zelle Transfer Conf","Zelle Transfer Conf# 14e37e266; Venezuela, Jorge","50.00","debit","Transfer","BofA Core Checking","",""
"5/29/2018","Transfer to BofA Core Checking","QuickPay with Zelle payment to juan gaviria 7183822608","100.00","debit","Transfer","TOTAL CHECKING","",""
"5/29/2018","Transfer from CHASE SAVINGS","Online Transfer from SAV ...1816transaction#: 7183823878","50.00","credit","Transfer","TOTAL CHECKING","",""
"5/29/2018","Toyota","TOYOTA FINANCIAL RETAIL_PAY 51090998042818  WEB ID: 1953775816","336.60","debit","Auto Payment","TOTAL CHECKING","",""
"5/29/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...0122 transaction#: 7183823878 05/29","50.00","debit","Transfer","CHASE SAVINGS","",""
"5/28/2018","Send E Tfr","SEND E-TFR CA***E5P","705.00","debit","Gift","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/28/2018","Mike","MIKE'S INDEPEND","18.72","debit","Groceries","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/28/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 LP401","2000.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/28/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 LP401","2000.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"5/28/2018","Tdm Cbp","TDM CBP","6328.00","credit","Income","TD BASIC BUSINESS PLAN","",""
"5/28/2018","Sobeys","SOBEYS 867 QP TORONTO","27.56","debit","Groceries","American Express Cobalt Card","",""
"5/28/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","102.65","credit","Credit Card Payment","American Express Cobalt Card","",""
"5/28/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","293.44","credit","Credit Card Payment","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/27/2018","Jack Lil","JACK & LIL'S 209218082 TORONTO","8.48","debit","Fast Food","American Express Cobalt Card","",""
"5/27/2018","Pizzeria Libretto","PIZZERIA LIBRETTO - TORONTO","68.87","debit","Fast Food","American Express Cobalt Card","",""
"5/27/2018","Bike Share Toronto","BIKE SHARE TORONTO BIKE LONGUEUIL","15.82","debit","Public Transportation","American Express Cobalt Card","",""
"5/27/2018","Freshii","FRESHII - 1093 - 208 QU TORONTO","10.16","debit","Restaurants","American Express Cobalt Card","",""
"5/26/2018","Second Cup","SECOND CUP 9594 TORONTO","7.18","debit","Coffee Shops","American Express Cobalt Card","",""
"5/26/2018","Zara","ZARA TORONTO-BLOOR#3 TORONTO","51.87","debit","Clothing","American Express Cobalt Card","",""
"5/26/2018","Tim Horton's","TIM HORTONS #2162# QT TORONTO","4.07","debit","Coffee Shops","American Express Cobalt Card","",""
"5/26/2018","Wine Rack","WINE RACK 309 TORONTO","19.05","debit","Alcohol & Bars","American Express Cobalt Card","",""
"5/26/2018","Amazon","AMAZON.CA AMAZON.CA","112.99","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/25/2018","McDonald's","MCDONALD'S #40346 TORONTO","10.38","debit","Fast Food","American Express Cobalt Card","",""
"5/24/2018","Indian Cuis","THE INDIAN CUIS","18.18","debit","Restaurants","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/24/2018","Harbourfront Medical","HARBOURFRONT MEDICAL TORONTO","75.00","debit","Health & Fitness","American Express Cobalt Card","",""
"5/24/2018","H&M","H & M CA #001 H & M CA TORONTO","16.94","debit","Clothing","American Express Cobalt Card","",""
"5/24/2018","Winners","WINNERS 483 TORONTO","15.66","debit","Clothing","American Express Cobalt Card","",""
"5/24/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","38.84","debit","Groceries","American Express Cobalt Card","",""
"5/24/2018","Marshalls","MARSHALLS 709 TORONTO","37.27","debit","Clothing","American Express Cobalt Card","",""
"5/23/2018","Transferwise Msp","TRANSFERWISE MSP","339.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"5/23/2018","Dollarama","DOLLARAMA #0938 TORONTO","25.02","debit","Shopping","American Express Cobalt Card","",""
"5/22/2018","Ravenna Country F","RAVENNA COUNTRY _F","7.90","debit","Coffee Shops","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/22/2018","Hungry Sumo","THE HUNGRY SUMO","45.29","debit","Restaurants","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/22/2018","Tim Horton's","TIM HORTONS #5909 COLLINGWOOD","14.99","debit","Coffee Shops","American Express Cobalt Card","",""
"5/22/2018","Amazon","AMAZON.CA AMAZON.CA","59.98","credit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/22/2018","Esso","ESSO-HITSHA ESSO BARRIE","76.35","debit","Gas & Fuel","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/21/2018","Metro","METRO #178 COLLINGWOOD","4.92","debit","Groceries","American Express Cobalt Card","",""
"5/21/2018","Mac's","65062 MACS CONV. STO COLLINGWOOD","6.77","debit","Shopping","American Express Cobalt Card","",""
"5/21/2018","Metro","METRO #178 COLLINGWOOD","2.36","debit","Groceries","American Express Cobalt Card","",""
"5/21/2018","Rogers Cbl","ROGERS *CBL30352111801 888-764-3771","90.39","debit","Internet","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/20/2018","LCBO","LCBO/RAO #0031 COLLINGW COLLINGWOOD","12.05","debit","Alcohol & Bars","American Express Cobalt Card","",""
"5/20/2018","Square One Insurance Services Inc","SQUARE ONE INSURANCE SE VANCOUVER","30.21","debit","Home Insurance","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/20/2018","Interest Charge Purchases","Interest Charge on Purchases 180521040000160357","176.52","debit","Finance Charge","Starwood Preferred Guest","",""
"5/19/2018","Eurest","EUREST-BOMBARIDIER-2303 TORONTO","7.67","debit","Food & Dining","American Express Cobalt Card","",""
"5/19/2018","Pita Land Tanger","PITA LAND TANGER OUTLET COOKSTOWN","20.96","debit","Clothing","American Express Cobalt Card","",""
"5/19/2018","Blue Mountain","FIREHALL PIZZA CO. BLUE MOUNTAIN","47.92","debit","Gift","American Express Cobalt Card","",""
"5/19/2018","Eddie Bauer","EDDIE BAUER R101 COOKSTOWN","67.79","debit","Clothing","American Express Cobalt Card","",""
"5/19/2018","Minimo Inter�ses","MINIMO INTERÉSES C_BANKCHARGES","1.50","debit","Coffee Shops","Bank of America Cash Rewards Visa Platinum Plus ","",""
"5/18/2018","Danish Pastry House","THE DANISH PASTRY HOUSE TORONTO","5.65","debit","Restaurants","American Express Cobalt Card","",""
"5/17/2018","Rogers","ROGERS *781528047 888-764-3771","46.13","debit","Internet","American Express Cobalt Card","",""
"5/17/2018","Tim Horton's","TIM HORTONS #3227# QT TORONTO","3.34","debit","Coffee Shops","American Express Cobalt Card","",""
"5/17/2018","Rexall Pharmacy","REXALL PHARMACY #816 TORONTO","6.86","debit","Pharmacy","American Express Cobalt Card","",""
"5/17/2018","Tim Horton's","TIM HORTONS OAKVILLE","10.00","debit","Coffee Shops","American Express Cobalt Card","",""
"5/16/2018","H&M","TACORRITO AND H _M","15.76","debit","Clothing","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/16/2018","Pure Fitness Canada Inc","NBX*Pure Fitness Canada Toronto","72.32","debit","Gym","American Express Cobalt Card","",""
"5/16/2018","Tim Horton's","TIM HORTONS OAKVILLE","10.00","debit","Coffee Shops","American Express Cobalt Card","",""
"5/16/2018","Forever 21","FOREVER 21 #390 TORONTO TORONTO","16.84","debit","Clothing","American Express Cobalt Card","",""
"5/16/2018","Pure Fitness Canada Inc","NBX*Pure Fitness Canada Toronto","72.32","debit","Gym","American Express Cobalt Card","",""
"5/16/2018","Eurest","EUREST-BOMBARIDIER-2303 TORONTO","7.67","debit","Food & Dining","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/16/2018","Transfer from TOTAL CHECKING","Payment Thank You - Web","136.62","credit","Credit Card Payment","CREDIT CARD","",""
"5/16/2018","Transfer to CREDIT CARD","Payment to Chase card ending in7208 05/16","136.62","debit","Credit Card Payment","TOTAL CHECKING","",""
"5/15/2018","Spotify","SPOTIFY USA NEW YORKP05F783E82 DIRECT MKTG MISC 320181350463490646","11.87","debit","Music","Starwood Preferred Guest","",""
"5/15/2018","York Quay Fine","YORK QUAY FINE _M","0.50","debit","Coffee Shops","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/15/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 WJ313","200.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/15/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 WJ313","200.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"5/15/2018","City Toronto Ferr","CITY OF TORONTO FERR TORONTO","15.74","debit","Public Transportation","American Express Cobalt Card","",""
"5/15/2018","Sugoicustomorder.com Westmount East","SUGOICUSTOMORDER.COM WESTMOUNT EAST","129.95","debit","Gift","American Express Cobalt Card","",""
"5/15/2018","iTunes","APL* ITUNES.COM/BILL","9.99","debit","Music","CREDIT CARD","",""
"5/14/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 LU400","85.00","debit","Transfer","LINE OF CREDIT UNSECURED","",""
"5/14/2018","Td Insurance Ins","TD Insurance INS","135.39","debit","Auto Insurance","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/14/2018","Loblaws","LOBLAWS 1154","129.14","debit","Groceries","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/14/2018","Transfer from LINE OF CREDIT UNSECURED","Transfer from LINE OF CREDIT UNSECURED 3258410 LU400","85.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"5/14/2018","Transfer to Starwood Preferred Guest�* Business Credit Card f…","American Express BPY","2842.15","debit","Credit Card Payment","TD BASIC BUSINESS PLAN","",""
"5/14/2018","Tdm Cbp","TDM CBP","3164.00","credit","Income","TD BASIC BUSINESS PLAN","",""
"5/14/2018","Interest","INTEREST","92.65","debit","Loan Interest","American Express Cobalt Card","",""
"5/14/2018","Membership Fee Installment","MEMBERSHIP FEE INSTALLMENT","10.00","debit","Fees & Charges","American Express Cobalt Card","",""
"5/14/2018","Cleverbridge Ag Koeln","CLEVERBRIDGE AG KOELN","43.29","debit","Electronics & Software","American Express Cobalt Card","",""
"5/14/2018","Beavertails Toronto Wat","BEAVERTAILS TORONTO WAT TORONTO","12.75","debit","Fast Food","American Express Cobalt Card","",""
"5/14/2018","Bandit Brewery","BANDIT BREWERY 20870291 TORONTO","8.63","debit","Alcohol & Bars","American Express Cobalt Card","",""
"5/14/2018","Transfer to CREDIT CARD","Payment to Chase card ending in7208 05/14","3348.34","debit","Credit Card Payment","TOTAL CHECKING","",""
"5/14/2018","Transfer from CHASE SAVINGS","Online Transfer from SAV ...1816transaction#: 7142334789","3350.00","credit","Transfer","TOTAL CHECKING","",""
"5/14/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...0122 transaction#: 7142334789 05/14","3350.00","debit","Transfer","CHASE SAVINGS","",""
"5/13/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","3.15","debit","Coffee Shops","American Express Cobalt Card","",""
"5/13/2018","Medical Clinic","WELL ONE MEDICAL CLINIC TORONTO","100.00","debit","Doctor","American Express Cobalt Card","",""
"5/13/2018","Eggspectation","EGGSPECTATION TORONTO","52.11","debit","Restaurants","American Express Cobalt Card","",""
"5/13/2018","Amazon","AMAZON.CA AMAZON.CA","15.60","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/13/2018","Amazon","AMAZON *MARKETPLCE CA WWW.AMAZON.CA","11.66","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/13/2018","Amazon","AMAZON.CA AMAZON.CA","8.55","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/13/2018","Taylor Colt One","TAYLOR & COLT @ ONE YORK","17.72","debit","Hair","CREDIT CARD","",""
"5/13/2018","Well One Pharmacy","WELL ONE PHARMACY","30.76","debit","Pharmacy","CREDIT CARD","",""
"5/13/2018","Taylor Colt One","TAYLOR & COLT @ ONE YORK","20.96","debit","Hair","CREDIT CARD","",""
"5/13/2018","Interest Charge","PURCHASE INTEREST CHARGE","2.25","credit","Interest Income","CREDIT CARD","",""
"5/13/2018","Well One Pharmacy","WELL ONE PHARMACY","59.44","debit","Pharmacy","CREDIT CARD","",""
"5/13/2018","Transfer from TOTAL CHECKING","Payment Thank You-Mobile","3348.34","credit","Credit Card Payment","CREDIT CARD","",""
"5/12/2018","Biscotteria Forno Cultu","BISCOTTERIA FORNO CULTU TORONTO","5.09","debit","Restaurants","American Express Cobalt Card","",""
"5/12/2018","Bolis Books","BOLIS BOOKS TORONTO","7.30","debit","Books","American Express Cobalt Card","",""
"5/12/2018","Transfer from TD BASIC BUSINESS PLAN","PAYMENT RECEIVED - THANK YOU","2842.15","credit","Credit Card Payment","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"5/11/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","42.71","debit","Groceries","American Express Cobalt Card","",""
"5/11/2018","Volta Espresso Bar","VOLTA ESPRESSO BAR Toronto","5.25","debit","Coffee Shops","American Express Cobalt Card","",""
"5/11/2018","Interest Charge","PURCHASE INTEREST CHARGE","58.19","debit","Finance Charge","CREDIT CARD","",""
"5/11/2018","Transfer to CHASE SAVINGS","Online Transfer to SAV ...1816 transaction#: 7140953338 05/11","4745.00","debit","Transfer","TOTAL CHECKING","",""
"5/11/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...0122transaction#: 7140953338","4745.00","credit","Transfer","CHASE SAVINGS","",""
"5/10/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","10.23","debit","Groceries","American Express Cobalt Card","",""
"5/10/2018","Medical Clinic","WELL ONE MEDICAL CLINIC TORONTO","100.00","debit","Doctor","American Express Cobalt Card","",""
"5/10/2018","La Prep","LA PREP TORONTO","4.19","debit","Food & Dining","American Express Cobalt Card","",""
"5/10/2018","iTunes","APL* ITUNES.COM/BILL","4.99","debit","Music","CREDIT CARD","",""
"5/10/2018","Domestic Incoming Wire","DOMESTIC INCOMING WIRE FEE","15.00","debit","Fees & Charges","TOTAL CHECKING","",""
